trial_index,regularization,class_weight_balanced,split_index,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score,optimization_success,mean_gate_metadata,mean_gate_uni2,mean_gate_virchow2,mean_gate_prism2
0,0.1,False,0,0,0,0.7788006173720461,0.37142857142857144,0.5751145944003088,True,0.042073127,0.20744163,0.04561738,0.70486784
0,0.1,False,1,0,1,0.8890980034458295,0.6119047619047618,0.7505013826752956,True,0.04386584,0.24297537,0.046241976,0.6669168
0,0.1,False,2,0,2,0.8893155033372425,0.5166666666666667,0.7029910850019546,True,0.044673983,0.24681433,0.045103766,0.6634079
0,0.1,False,3,0,3,0.8383528971028972,0.40476190476190477,0.621557400932401,True,0.043009263,0.19870123,0.04349667,0.7147928
0,0.1,False,4,0,4,0.8818359177054829,0.5404761904761906,0.7111560540908367,True,0.043106575,0.18077008,0.039723646,0.7363997
0,0.1,False,5,1,0,0.8703757089471376,0.4571428571428572,0.6637592830449974,True,0.04349531,0.20117491,0.045487188,0.70984256
0,0.1,False,6,1,1,0.9297583756822886,0.7452380952380953,0.8374982354601919,True,0.04362663,0.20628347,0.046179798,0.70391005
0,0.1,False,7,1,2,0.8744341166080297,0.5476190476190477,0.7110265821135386,True,0.043218464,0.20389691,0.04361225,0.70927244
0,0.1,False,8,1,3,0.8748443223443223,0.4523809523809524,0.6636126373626373,True,0.043424807,0.20385468,0.044175755,0.70854473
0,0.1,False,9,1,4,0.8795883102404842,0.46190476190476193,0.670746536072623,True,0.04360338,0.21092309,0.042808596,0.7026649
0,0.1,False,10,2,0,0.9145807895807897,0.6238095238095237,0.7691951566951567,True,0.045115344,0.24331146,0.046191595,0.6653817
0,0.1,False,11,2,1,0.9132395684026119,0.6333333333333334,0.7732864508679727,True,0.046539124,0.21877815,0.042190704,0.692492
0,0.1,False,12,2,2,0.8865735351604916,0.5,0.6932867675802459,True,0.04573185,0.22621791,0.047349233,0.68070096
0,0.1,False,13,2,3,0.8394563769563769,0.40476190476190477,0.6221091408591408,True,0.043120664,0.22245347,0.045709614,0.68871635
0,0.1,False,14,2,4,0.8609559643255295,0.4571428571428572,0.6590494107341933,True,0.044835735,0.23861296,0.045597993,0.67095333
1,0.1,True,0,0,0,0.779826258397687,0.37142857142857144,0.5756274149131293,True,0.04342955,0.21467273,0.04567397,0.69622374
1,0.1,True,1,0,1,0.885125436158045,0.6119047619047618,0.7485150990314033,True,0.046001323,0.26452282,0.045605708,0.6438702
1,0.1,True,2,0,2,0.8893155033372425,0.5166666666666667,0.7029910850019546,True,0.046402548,0.25875276,0.044828713,0.65001595
1,0.1,True,3,0,3,0.8400178987678988,0.4404761904761905,0.6402470446220446,True,0.04321074,0.20691873,0.043001983,0.70686865
1,0.1,True,4,0,4,0.8818359177054829,0.5404761904761906,0.7111560540908367,True,0.04442515,0.17962606,0.03913992,0.73680884
1,0.1,True,5,1,0,0.8691852327566615,0.4571428571428572,0.6631640449497593,True,0.044826265,0.2099514,0.045757,0.6994654
1,0.1,True,6,1,1,0.9297583756822886,0.7452380952380953,0.8374982354601919,True,0.044224683,0.20471494,0.04529575,0.7057646
1,0.1,True,7,1,2,0.8744341166080297,0.5476190476190477,0.7110265821135386,True,0.045282092,0.21895611,0.04405812,0.69170374
1,0.1,True,8,1,3,0.8775715950715951,0.4523809523809524,0.6649762737262738,True,0.044685412,0.21659388,0.044859093,0.69386166
1,0.1,True,9,1,4,0.8734482003503744,0.46190476190476193,0.6676764811275682,True,0.045490976,0.22468694,0.043075733,0.6867464
1,0.1,True,10,2,0,0.9145807895807897,0.6238095238095237,0.7691951566951567,True,0.04763759,0.25719696,0.046189222,0.64897627
1,0.1,True,11,2,1,0.9119804108934543,0.6333333333333334,0.7726568721133938,True,0.04881566,0.23919538,0.042876,0.669113
1,0.1,True,12,2,2,0.8876557862427428,0.5,0.6938278931213714,True,0.046950635,0.24360065,0.047511708,0.66193706
1,0.1,True,13,2,3,0.8386338661338663,0.40476190476190477,0.6216978854478855,True,0.043558117,0.23102716,0.04491546,0.6804992
