trial_index,rationale,macro_auroc_mean,macro_auroc_std,balanced_accuracy_mean,balanced_accuracy_std,composite_mean,composite_sem,selection_score,improved_incumbent,material_improvement,weight_metadata,weight_uni2,weight_virchow2,weight_prism2
0,Begin with nearly equal weights across the three image streams and a small non-zero metadata contribution.,0.8524892068479025,0.03254369139320629,0.4431746031746032,0.06448612416233913,0.647831905011253,0.011452225268342133,0.6421057923770819,True,True,0.05,0.316667,0.316667,0.316667
1,"The standalone CV ranking places Prism2 first, UNI2 second and Virchow2 third, so test a Prism2-heavy fusion while retaining all streams.",0.8685348037056112,0.03519463316538413,0.49000000000000005,0.07255461622530235,0.6792674018528057,0.013157292107922726,0.6726887557988442,True,True,0.05,0.25,0.15,0.55
2,"Generate a local weight-transfer neighbor around the current best trial 2. Among untried neighbors, prefer the candidate supported by standalone train-CV stream scores.",0.8721161484210138,0.03482871852301032,0.49365079365079373,0.06830273003745205,0.6828834710359039,0.012749180833760183,0.6765088806190238,True,True,0.05,0.25,0.1,0.6
3,"Generate a local weight-transfer neighbor around the current best trial 3. Among untried neighbors, prefer the candidate supported by standalone train-CV stream scores.",0.8758106935047927,0.03497565396145296,0.518888888888889,0.09184635038263207,0.6973497911968409,0.01575624744387432,0.6894716674749037,True,True,0.05,0.25,0.05,0.65
4,"Generate a local weight-transfer neighbor around the current best trial 4. Among untried neighbors, prefer the candidate supported by standalone train-CV stream scores.",0.876048766680754,0.03571786090413295,0.5152380952380953,0.10276703031734541,0.6956434309594248,0.017401079735852157,0.6869428910914988,False,False,0.05,0.2,0.05,0.7
5,"Generate a local weight-transfer neighbor around the current best trial 4. Among untried neighbors, prefer the candidate supported by standalone train-CV stream scores.",0.8740303241157279,0.035149076133916636,0.5066666666666667,0.08860945712762391,0.6903484953911972,0.01526937349154343,0.6827138086454255,False,False,0.05,0.2,0.1,0.65
6,"Generate a local weight-transfer neighbor around the current best trial 4. Among untried neighbors, prefer the candidate supported by standalone train-CV stream scores.",0.8736642546357867,0.034584076160213195,0.5003174603174604,0.07478436047926337,0.6869908574766235,0.013387923183081471,0.6802968958850827,False,False,0.05,0.3,0.05,0.6
7,"Generate a local weight-transfer neighbor around the current best trial 4. Among untried neighbors, prefer the candidate supported by standalone train-CV stream scores.",0.875766878451661,0.035539518341515954,0.5114285714285715,0.08599349837184612,0.6935977249401161,0.015186436567931037,0.6860045066561505,False,False,0.1,0.2,0.05,0.65
