stream,macro_auroc_mean,macro_auroc_std,balanced_accuracy_mean,balanced_accuracy_std,composite_mean
metadata,0.5978896001724677,0.0730414905194171,0.2515873015873016,0.07682834501621047,0.42473845087988465
uni2,0.8270104806052011,0.024251879621837634,0.4387528344671202,0.05490619954379826,0.6328816575361607
virchow2,0.8069228290304894,0.046196618594185675,0.3974829931972789,0.08120075249789006,0.6022029111138842
prism2,0.8691323933523727,0.0395434988679212,0.5044444444444445,0.10377108235796546,0.6867884188984086
