representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
metadata,0,0.0001,none,0,0,0.5207179592893879,0.14285714285714285,0.3317875510732654
metadata,0,0.0001,none,0,1,0.6676155999797304,0.14285714285714285,0.4052363714184366
metadata,0,0.0001,none,0,2,0.6744442333029289,0.14285714285714285,0.4086506880800359
metadata,0,0.0001,none,0,3,0.5000089493839494,0.14285714285714285,0.32143304612054613
metadata,0,0.0001,none,0,4,0.6138070353559483,0.14285714285714285,0.3783320891065456
metadata,0,0.0001,none,1,0,0.6328381406952835,0.14285714285714285,0.3878476417762132
metadata,0,0.0001,none,1,1,0.5955776469906905,0.14285714285714285,0.3692173949239167
metadata,0,0.0001,none,1,2,0.6765783853827332,0.14285714285714285,0.409717764119938
metadata,0,0.0001,none,1,3,0.49271665834165834,0.14285714285714285,0.3177869005994006
metadata,0,0.0001,none,1,4,0.5361670756779452,0.14285714285714285,0.33951210926754405
metadata,0,0.0001,none,2,0,0.6762933230790373,0.14285714285714285,0.40957523296809006
metadata,0,0.0001,none,2,1,0.5724003351720742,0.14285714285714285,0.35762873901460857
metadata,0,0.0001,none,2,2,0.5179733943592638,0.14285714285714285,0.33041526860820336
metadata,0,0.0001,none,2,3,0.5655792124542124,0.14285714285714285,0.35421817765567765
metadata,0,0.0001,none,2,4,0.5487942220822656,0.14285714285714285,0.34582568246970424
metadata,1,0.0001,balanced,0,0,0.516622768765626,0.16734693877551018,0.3419848537705681
metadata,1,0.0001,balanced,0,1,0.6227607265922483,0.41428571428571426,0.5185232204389814
metadata,1,0.0001,balanced,0,2,0.664537473396169,0.33333333333333337,0.4989354033647512
metadata,1,0.0001,balanced,0,3,0.44989697802197803,0.21428571428571425,0.33209134615384617
metadata,1,0.0001,balanced,0,4,0.5759845317725752,0.2904761904761905,0.43323036112438285
metadata,1,0.0001,balanced,1,0,0.5490780912209483,0.20816326530612245,0.3786206782635354
metadata,1,0.0001,balanced,1,1,0.5919294473642299,0.26666666666666666,0.4292980570154483
metadata,1,0.0001,balanced,1,2,0.5946707278229016,0.3095238095238095,0.45209726867335553
metadata,1,0.0001,balanced,1,3,0.525801073926074,0.21428571428571425,0.37004339410589415
metadata,1,0.0001,balanced,1,4,0.5354099885621625,0.20714285714285713,0.37127642285250984
metadata,1,0.0001,balanced,2,0,0.6913337059765631,0.2795918367346939,0.4854627713556285
metadata,1,0.0001,balanced,2,1,0.5497462501266849,0.2261904761904762,0.3879683631585805
metadata,1,0.0001,balanced,2,2,0.5149230932111367,0.21428571428571433,0.3646044037484255
metadata,1,0.0001,balanced,2,3,0.5876155094905096,0.21428571428571427,0.40095061188811193
metadata,1,0.0001,balanced,2,4,0.4425300876659572,0.1904761904761905,0.31650313907107386
metadata,2,0.001,none,0,0,0.517860816432245,0.14285714285714285,0.33035897964469396
metadata,2,0.001,none,0,1,0.6676155999797304,0.14285714285714285,0.4052363714184366
metadata,2,0.001,none,0,2,0.6771914860501816,0.14285714285714285,0.4100243144536623
metadata,2,0.001,none,0,3,0.4989375208125208,0.14285714285714285,0.3208973318348318
metadata,2,0.001,none,0,4,0.6100803272814143,0.14285714285714285,0.3764687350692786
metadata,2,0.001,none,1,0,0.6328381406952835,0.14285714285714285,0.3878476417762132
metadata,2,0.001,none,1,1,0.5955776469906905,0.14285714285714285,0.3692173949239167
metadata,2,0.001,none,1,2,0.6765783853827332,0.14285714285714285,0.409717764119938
metadata,2,0.001,none,1,3,0.4956928488178488,0.14285714285714285,0.31927499583749586
metadata,2,0.001,none,1,4,0.5374093117027899,0.14285714285714285,0.3401332272799664
metadata,2,0.001,none,2,0,0.679956326742041,0.14285714285714285,0.4114067347995919
metadata,2,0.001,none,2,1,0.5694241446958838,0.14285714285714285,0.35614064377651333
metadata,2,0.001,none,2,2,0.519055645441515,0.14285714285714285,0.33095639414932887
metadata,2,0.001,none,2,3,0.5670673076923076,0.14285714285714285,0.3549622252747252
metadata,2,0.001,none,2,4,0.5463097500325761,0.14285714285714285,0.3445834464448595
metadata,3,0.001,balanced,0,0,0.516622768765626,0.16734693877551018,0.3419848537705681
metadata,3,0.001,balanced,0,1,0.6227607265922483,0.41428571428571426,0.5185232204389814
metadata,3,0.001,balanced,0,2,0.664537473396169,0.33333333333333337,0.4989354033647512
metadata,3,0.001,balanced,0,3,0.44989697802197803,0.21428571428571425,0.33209134615384617
metadata,3,0.001,balanced,0,4,0.5803503742634177,0.2904761904761905,0.43541328236980414
metadata,3,0.001,balanced,1,0,0.5502685674114245,0.20816326530612245,0.3792159163587735
metadata,3,0.001,balanced,1,1,0.5908471962819789,0.26666666666666666,0.4287569314743228
metadata,3,0.001,balanced,1,2,0.5946707278229019,0.3095238095238095,0.45209726867335565
metadata,3,0.001,balanced,1,3,0.5315153596403597,0.21428571428571425,0.37290053696303693
metadata,3,0.001,balanced,1,4,0.5368980838002577,0.20714285714285713,0.3720204704715574
metadata,3,0.001,balanced,2,0,0.6913337059765631,0.2795918367346939,0.4854627713556285
metadata,3,0.001,balanced,2,1,0.5497462501266849,0.2261904761904762,0.3879683631585805
metadata,3,0.001,balanced,2,2,0.5164111884492318,0.21428571428571433,0.36534845136747307
metadata,3,0.001,balanced,2,3,0.5897800116550116,0.21428571428571427,0.40203286297036295
metadata,3,0.001,balanced,2,4,0.4437723236908019,0.1904761904761905,0.3171242570834962
